nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n2639 O,0,3,4,4,0,2,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,7,5,0,2,10,0,0,0,0,479.09309,429.428444,262.6103,215.28166,317.18187,337.37465,384.26912,460.53565,309.7049
n2639 X,1,1,2,1,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,3,2,0,0,1,5,6,4,0,2,6,2,0,0,0,0,0,176.9315,0,564.17166,0,334.60412,0,0
n2652 =,5,18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,4,0,0,0,0,0,1,0,424.556,562.03542,466.04314,401.0246,483.59943,561.46727,419.94952,460.3353,443.87489,600.61952
n2652 o,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,2,3,3,0,0,0,0,0,1,0,577.8875,455.16228,464.60789,3.17081,0,4.53927,0,0,438.26765,0
n2652 A,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,595.84433,18.1905,0,0,0,0,0,0,81.23966,0
n2652 H,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,0,0,8,6,0,0,0,0,0,1,0,0,574.5164,399.02216,278.66466,0,0,70.61997,0,0,0,0
n2652 O,6,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,1,0,2,0,0,293.08367,391.41222,386.17195,486.43601,451.85793,542.30887,311.17381,594.2106,320.38495,558.431
n2652 X,4,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,1,0,0,0,0,0,12,5,1,0,1,0,0,0,0,0,565.40453,4.67278,0,0,10.5471,62.2815,0,0,0,0
n2659 =,2,6,2,1,0,2,12,12,0,0,0,1,0,0,0,0,7,2,1,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,9,3,1,0,2,19,14,1,0,225.72864,600.15225,476.25643,491.20945,198.32616,355.56562,598.54934,592.20803,490.90564,577.20468
n2659 o,2,1,0,0,0,1,18,5,3,1,1,4,0,1,0,1,12,7,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,6,7,3,3,0,2,30,12,3,1,0,600.15225,29.73888,0,0,275.89471,598.54934,0,561.96525,507.04617
